gene_id,Adipose_Aggregate,Brain_Aggregate,Heart_Aggregate,Liver,Muscle_Skeletal
ENSG00000247130,0.00550019,0.001690252,0.001350168,0.001597611,0.001413549
ENSG00000248370,0.086996666,0.008520901,0.011817724,0.004577965,0.008638568
ENSG00000242169,0.117174589,0.039963149,0.047625339,0.036222876,0.073938643
ENSG00000248880,0.002495082,0.001655025,0.001153894,0.002381903,0.001319427
ENSG00000249378,0.196547782,0.040096484,0.065750651,0.001667876,0.015001462
ENSG00000250523,0.01015009,0.002923338,0.003117137,0.000915044,0.000415978
ENSG00000275826,0.007060878,0.002199225,0.001212693,0.00013323,0.000493811
ENSG00000252275,0.000823937,0.000144766,0,0,0
ENSG00000180015,0.618466782,0.397780231,0.39721847,0.164108009,0.592878755
ENSG00000278974,4.894978965,4.199427802,3.710017711,2.46699354,4.424791494
ENSG00000249269,0.007050774,0.000967157,0.000287104,0.000332345,0.000524969
ENSG00000251619,0.003028225,0.006020652,0.000397264,0.000642124,0.001176164
ENSG00000250626,0.038023279,0.001772035,0.002577189,0.00230765,0.003302731
ENSG00000250024,0.000451144,0.001761471,0.000251591,0.000956903,0.001198045
ENSG00000251310,0.003075456,0.000788686,0.003200842,0,0.002640461
ENSG00000249877,0.002505121,0.001578189,0.00202221,0.000806106,0.002241308
ENSG00000205100,0.034689131,0.056066489,0.03219123,0.01665285,0.028646127
ENSG00000250739,0.018275139,0.006070434,0.004525643,0.00126146,0.001272105
ENSG00000272566,0.084232249,0.199160855,0.11505638,0.060471327,0.01871939
ENSG00000202215,0.008696036,0.007256011,0.01522716,0.008260177,0.002679826
ENSG00000245685,2.445248076,0.196803965,0.13006354,0.070065916,0.067935179
ENSG00000250666,0.004565282,0.012252055,0.009796329,0.004745929,0.005601133
ENSG00000109536,30.9592518,15.69492614,11.74162905,9.38910177,12.54432005
ENSG00000249462,0.000805593,0.00074888,0.00162773,0.002966814,0.002026351
ENSG00000271307,0.000134761,0.001928414,0.00029104,0.000689115,0.000666575
ENSG00000251297,0.027616237,0.05979672,0.010464211,0.021460265,0.008737098
ENSG00000199572,0.005249391,0.001868673,0.000796464,0,0.002432503
ENSG00000201145,0.002100082,0.026132361,0,0.001611062,0.000476961
ENSG00000224807,0.011855527,0.188269938,0.003577745,0.002511726,0.006734782
ENSG00000205097,0.001406656,0.106958504,0.000562552,0.001418805,0.000679452
ENSG00000250053,0.005306372,0.00916881,0.000875333,0.000255619,0.000534932
ENSG00000214273,0.037598162,0.054925197,0.005843405,0.007437876,0.007390772
ENSG00000249003,0.000398412,0.000398104,0.00006485,0,0.000202839
ENSG00000281591,0.003087506,0.001679951,0.000663118,0.000859889,0.000891743
ENSG00000281720,0.00028866,0.000144135,0.000089772,0.000122389,0.000341407
ENSG00000281652,0,0,0,0,0
ENSG00000281058,0,0,0,0,0
ENSG00000280799,0,0,0,0,0
ENSG00000258834,0.0002159,5.20E-05,0,0,0
ENSG00000280757,0,0,0,0,0
ENSG00000281627,0,0,0,0,0
ENSG00000280457,0,0,0,0,0
ENSG00000260596,0.000605332,0.000243805,0.000180167,0,0.000102715
ENSG00000261914,0.002243386,0.001794464,0.000815393,0.001747876,0.000958381
ENSG00000250020,0.002993036,0.004181142,0.001207738,0.001906062,0.001503935
ENSG00000153404,0.098489295,0.227706612,0.048271948,0.022199314,0.125794762
ENSG00000199540,0.001153394,0.000961495,0.000259441,0,0.000870859
ENSG00000185028,0.048509087,0.422436028,21.0582897,0.012679872,37.25121544
ENSG00000261434,0.059891115,0.976514904,40.77248366,0.018940531,48.86900299
ENSG00000164366,5.565209486,4.958390273,3.9677357,1.696272566,6.912941469
ENSG00000073578,96.72125328,75.22010291,243.1696354,115.040885,244.786538
ENSG00000248925,0.843441827,1.38420227,0.2578757,0.073522611,0.181859465
ENSG00000249915,39.00981004,36.99732218,13.38835126,21.22889823,11.82849191
ENSG00000250848,0.659749691,0.182016768,0.35980521,0.186243969,0.261429087
ENSG00000063438,1.794275258,1.05439566,0.368019347,0.399026681,0.443885824
ENSG00000214278,0.01144277,0.008577289,0.00646958,0.004006903,0.008079116
ENSG00000250645,0.391539326,0.030438417,0.079925081,0.06915208,0.06786335
ENSG00000221990,4.443168343,5.615040156,2.968532545,2.36729115,5.925967123
ENSG00000180104,31.26456271,20.36425009,13.61557553,10.98374779,33.57500623
ENSG00000188242,6.738291935,5.798640644,3.34699371,2.866730088,5.18413076
ENSG00000225138,12.4501167,18.38114982,4.888441207,7.934135398,2.918234122
ENSG00000066230,1.488222636,2.013085019,0.59553554,0.616320354,0.349067733
ENSG00000250385,0.040443235,0.606396466,0.021051009,0.002880133,0.006405579
ENSG00000264233,0.001925793,0.000711119,0.000999537,0,0
ENSG00000249650,0.02117851,0.059253811,0.00732249,0.015101947,0.004527634
ENSG00000112877,2.089975692,2.862590823,0.724220289,1.611330531,0.633101918
ENSG00000171368,6.364365076,136.5837816,8.661943557,2.136570796,8.660747198
ENSG00000271781,0.555805255,0.903189435,0.203514958,0.853559071,0.125720635
ENSG00000206077,5.120329241,31.77352156,13.45937353,4.915434956,3.505122042
ENSG00000249908,0.871047793,4.179426415,2.077493615,0.71336,0.740562391
ENSG00000188818,1.703684086,6.026547069,3.922096081,2.277541593,1.138796849
ENSG00000247872,0.023447851,0.121084096,0.051221764,0.039169389,0.013407522
ENSG00000028310,22.08350603,15.96785441,9.619649703,8.098057522,12.77044583
ENSG00000071539,1.573462074,1.041643462,0.357454215,0.515421416,0.389293562
ENSG00000248949,0.008710073,0.009522235,0.009281386,0.024121858,0.001519776
ENSG00000250173,0.005834537,0.061232958,0.035102167,0.020921504,0.00157345
ENSG00000215246,0.359388412,0.152135047,5.317735875,0.253585708,0.015334918
ENSG00000272347,0.585599755,0.171898979,0.445298205,0.216522212,0.058691425
ENSG00000145506,5.76015511,2.649604196,4.701022312,2.800089823,0.329167036
ENSG00000113504,34.5206449,10.09034491,42.33554836,53.79070796,5.460628892
ENSG00000263834,0.105316651,0.056050457,0.059703294,0.190801327,0.011152428
ENSG00000249201,0.695448517,0.073673644,0.297796908,26.66278053,0.050667858
ENSG00000174358,0.02001103,0.008095629,0.005784405,0.695873372,0.007162542
ENSG00000164363,0.0022131,0.004674445,0.001655136,0.00256492,0.001682553
ENSG00000164362,0.007014746,0.173685134,0.003235545,0.006640323,0.003002889
ENSG00000263670,0.00290891,0.001689113,0,0,0.000649191
ENSG00000049656,58.05675352,25.21862087,21.87658019,73.87353982,17.03851806
ENSG00000250584,0.007286809,0.55249255,0.003029746,0.011258451,0.005558356
ENSG00000248951,0.001790095,0.004084318,0.000810653,0.000333982,0.001342827
ENSG00000279908,0.077610845,0.203936436,0.009564359,0.018375487,0.007731133
ENSG00000142319,0.645458354,8.804214276,0.086148079,0.017906805,0.023582878
ENSG00000153395,25.14694176,17.1247307,8.219327748,5.896464602,2.592920922
ENSG00000273742,0.030202753,0.006550769,0.00390234,0.010054425,0.002050187
ENSG00000251532,0.452843952,0.505054293,0.121070151,0.184633274,0.05488193
ENSG00000185986,8.187623043,5.846717947,4.616683057,3.371818142,2.804527148
ENSG00000271119,0.543296472,0.355515602,0.356082229,0.274432832,0.230711482
ENSG00000248126,0.523330679,0.7017467,0.289057686,0.312021239,0.272533873
ENSG00000188002,6.465770715,5.655320153,3.271412177,4.091952212,3.842540722
ENSG00000232615,0.395710308,0.152710115,0.145878524,0.232227611,0.156896326
ENSG00000263746,0,0.000470481,0.000500583,0.001397788,0.0005132
ENSG00000260066,0.002387292,0.00470916,0.001223746,0.000846336,0.001076762
ENSG00000171421,24.34318401,14.50287207,16.113987,18.04229204,35.8622665
ENSG00000145494,50.03446142,40.9845597,87.61603733,42.03473451,80.28683686
ENSG00000249966,0.003135133,0.076019719,0.017719464,0.000512301,0.001644371
ENSG00000250417,0.001786761,0.007705843,0.001169385,0.002886106,0.001359004
ENSG00000279222,0.001731947,0.009844306,0.002078706,0.002985531,0.001435729
ENSG00000113430,0.263191818,0.030653253,4.087106742,0.012511394,0.468379908
ENSG00000249116,0.044186395,0.012484627,6.276378645,0.003910088,5.79977939
ENSG00000249326,0.002486466,0.001181065,0.000955139,0.000262345,0.002207036
ENSG00000248994,0.7176933,0.26809321,0.28375326,0.004306593,0.094664271
ENSG00000248597,0.079803826,0.032813024,0.05475248,0.001567389,0.093253798
ENSG00000249731,0.059368235,0.025141067,0.050101595,0.000480664,0.005264396
ENSG00000201026,0,0.001407909,0.000246271,0.000784513,0.000262017
ENSG00000275733,0.000893892,0.001310561,0.001039917,0.000711504,0.000534496
ENSG00000281560,0.041177221,0.018133534,0.002232313,0.000662235,0.002162864
ENSG00000259757,0.034853101,0.024807723,0.001982686,0.001323496,0.0023868
ENSG00000170561,3.85667551,1.656130769,0.529738008,0.027603668,0.180783696
ENSG00000186493,4.901400246,2.618980282,0.422566944,0.013936991,0.145470697
ENSG00000249541,0.006563726,0.003558487,0.004235256,0.007306814,0.005174996
ENSG00000248137,0.000251003,0.00313925,0.00040809,0.000199115,0.000109851
ENSG00000248736,0.00041843,0.008987542,0.00025473,0.002118805,0.001291457
ENSG00000249808,0.003737249,0.356411571,0.001359004,0.003480841,0.003988257
ENSG00000248118,0.024063414,0.017332199,0.000643888,0.00075423,0.00106899
ENSG00000249830,0.001898654,0.000350586,0.000265354,0.000894248,0.000944695
ENSG00000250716,0.000979063,0.000493183,0.000166206,0,0.00034807
ENSG00000170549,7.07706614,2.48093534,0.252226186,0.006184965,0.087011636
